"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/1999","0.6576","0.6559","0.6603","0.6550","","0.21%"
"06/16/1999","0.6562","0.6581","0.6587","0.6550","","-0.30%"
"06/15/1999","0.6582","0.6631","0.6638","0.6570","","-0.83%"
"06/14/1999","0.6637","0.6640","0.6653","0.6608","","-0.27%"
"06/11/1999","0.6655","0.6608","0.6660","0.6595","","0.62%"
"06/10/1999","0.6614","0.6593","0.6640","0.6550","","0.44%"
"06/09/1999","0.6585","0.6569","0.6647","0.6545","","0.12%"
"06/08/1999","0.6577","0.6586","0.6629","0.6555","","-0.23%"
"06/07/1999","0.6592","0.6574","0.6616","0.6543","","0.05%"
"06/04/1999","0.6589","0.6485","0.6600","0.6470","","1.43%"
"06/03/1999","0.6496","0.6430","0.6512","0.6410","","0.78%"
"06/02/1999","0.6446","0.6431","0.6473","0.6420","","0.14%"
"06/01/1999","0.6437","0.6485","0.6493","0.6405","","-0.79%"
"05/31/1999","0.6488","0.6533","0.6536","0.6470","","-0.54%"
"05/28/1999","0.6523","0.6486","0.6547","0.6464","","0.57%"
"05/27/1999","0.6486","0.6489","0.6534","0.6473","","0.06%"
"05/26/1999","0.6482","0.6497","0.6516","0.6460","","-0.20%"
"05/25/1999","0.6495","0.6583","0.6600","0.6476","","-1.40%"
"05/24/1999","0.6587","0.6565","0.6607","0.6555","","0.17%"
"05/21/1999","0.6576","0.6611","0.6649","0.6565","","-0.45%"
"05/20/1999","0.6606","0.6594","0.6639","0.6583","","0.14%"
"05/19/1999","0.6597","0.6663","0.6665","0.6575","","-0.96%"
"05/18/1999","0.6661","0.6639","0.6741","0.6633","","0.21%"
"05/17/1999","0.6647","0.6624","0.6673","0.6612","","0.11%"
"05/14/1999","0.6640","0.6681","0.6721","0.6623","","-0.58%"
"05/13/1999","0.6679","0.6664","0.6698","0.6623","","0.18%"
"05/12/1999","0.6667","0.6694","0.6718","0.6650","","-0.46%"
"05/11/1999","0.6698","0.6656","0.6747","0.6640","","0.51%"
"05/10/1999","0.6664","0.6721","0.6728","0.6650","","-0.86%"
"05/07/1999","0.6722","0.6696","0.6744","0.6648","","0.27%"
"05/06/1999","0.6704","0.6643","0.6727","0.6630","","0.96%"
"05/05/1999","0.6640","0.6596","0.6656","0.6574","","0.65%"
"05/04/1999","0.6597","0.6622","0.6643","0.6580","","-0.54%"
"05/03/1999","0.6633","0.6604","0.6664","0.6595","","0.27%"
"04/30/1999","0.6615","0.6595","0.6638","0.6570","","0.18%"
"04/29/1999","0.6603","0.6549","0.6604","0.6520","","0.92%"
"04/28/1999","0.6543","0.6498","0.6564","0.6489","","0.74%"
"04/27/1999","0.6495","0.6483","0.6519","0.6454","","0.12%"
"04/26/1999","0.6487","0.6508","0.6551","0.6470","","-0.46%"
"04/23/1999","0.6517","0.6505","0.6570","0.6495","","-0.02%"
"04/22/1999","0.6518","0.6453","0.6528","0.6447","","0.87%"
"04/21/1999","0.6462","0.6461","0.6497","0.6455","","-0.02%"
"04/20/1999","0.6463","0.6509","0.6516","0.6450","","-0.83%"
"04/19/1999","0.6517","0.6450","0.6533","0.6450","","0.70%"
"04/16/1999","0.6472","0.6427","0.6491","0.6413","","0.62%"
"04/15/1999","0.6432","0.6338","0.6447","0.6325","","1.34%"
"04/14/1999","0.6347","0.6361","0.6400","0.6328","","-0.27%"
"04/13/1999","0.6364","0.6344","0.6380","0.6330","","0.19%"
"04/12/1999","0.6352","0.6315","0.6383","0.6315","","0.63%"
"04/09/1999","0.6312","0.6264","0.6322","0.6253","","0.85%"
"04/08/1999","0.6259","0.6273","0.6275","0.6224","","-0.29%"
"04/07/1999","0.6277","0.6293","0.6313","0.6265","","-0.24%"
"04/06/1999","0.6292","0.6309","0.6315","0.6263","","-0.32%"
"04/05/1999","0.6312","0.6340","0.6352","0.6303","","-0.54%"
"04/02/1999","0.6346","0.6340","0.6351","0.6312","","0.00%"
"04/01/1999","0.6346","0.6330","0.6379","0.6330","","-0.02%"
"03/31/1999","0.6347","0.6264","0.6373","0.6242","","1.28%"
"03/30/1999","0.6267","0.6315","0.6329","0.6255","","-0.82%"
"03/29/1999","0.6319","0.6330","0.6347","0.6309","","-0.49%"
"03/26/1999","0.6350","0.6379","0.6396","0.6328","","-0.50%"
"03/25/1999","0.6382","0.6364","0.6387","0.6350","","0.14%"
"03/24/1999","0.6373","0.6391","0.6421","0.6365","","-0.38%"
"03/23/1999","0.6397","0.6367","0.6411","0.6352","","0.39%"
"03/22/1999","0.6372","0.6304","0.6372","0.6275","","1.13%"
"03/19/1999","0.6301","0.6286","0.6307","0.6265","","0.25%"
"03/18/1999","0.6285","0.6271","0.6318","0.6265","","0.18%"
"03/17/1999","0.6274","0.6258","0.6285","0.6233","","0.22%"
"03/16/1999","0.6260","0.6291","0.6295","0.6230","","-0.48%"
"03/15/1999","0.6290","0.6353","0.6355","0.6275","","-1.10%"
"03/12/1999","0.6360","0.6370","0.6382","0.6320","","-0.38%"
"03/11/1999","0.6384","0.6374","0.6395","0.6320","","0.22%"
"03/10/1999","0.6370","0.6346","0.6385","0.6320","","0.30%"
"03/09/1999","0.6351","0.6315","0.6372","0.6300","","0.49%"
"03/08/1999","0.6320","0.6282","0.6322","0.6262","","0.64%"
"03/05/1999","0.6280","0.6272","0.6293","0.6240","","0.29%"
"03/04/1999","0.6262","0.6210","0.6272","0.6185","","0.74%"
"03/03/1999","0.6216","0.6212","0.6267","0.6205","","0.05%"
"03/02/1999","0.6213","0.6190","0.6240","0.6185","","0.36%"
"03/01/1999","0.6191","0.6191","0.6219","0.6160","","0.05%"
"02/26/1999","0.6188","0.6253","0.6255","0.6165","","-1.12%"
"02/25/1999","0.6258","0.6322","0.6336","0.6230","","-1.12%"
"02/24/1999","0.6329","0.6402","0.6408","0.6293","","-1.23%"
"02/23/1999","0.6408","0.6410","0.6418","0.6360","","0.03%"
"02/22/1999","0.6406","0.6413","0.6417","0.6350","","0.17%"
"02/19/1999","0.6395","0.6355","0.6416","0.6340","","0.58%"
