"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","0.6477","0.6502","0.6511","0.6443","","-0.38%"
"12/01/2024","0.6502","0.6521","0.6523","0.6498","","-0.13%"
"11/29/2024","0.6510","0.6498","0.6527","0.6491","","0.17%"
"11/28/2024","0.6499","0.6496","0.6509","0.6475","","0.06%"
"11/27/2024","0.6495","0.6474","0.6500","0.6462","","0.36%"
"11/26/2024","0.6472","0.6503","0.6507","0.6432","","-0.46%"
"11/25/2024","0.6502","0.6496","0.6549","0.6485","","0.02%"
"11/22/2024","0.6501","0.6510","0.6521","0.6469","","-0.15%"
"11/21/2024","0.6511","0.6500","0.6532","0.6495","","0.12%"
"11/20/2024","0.6503","0.6531","0.6544","0.6482","","-0.43%"
"11/19/2024","0.6531","0.6507","0.6533","0.6480","","0.37%"
"11/18/2024","0.6507","0.6452","0.6511","0.6446","","0.71%"
"11/15/2024","0.6461","0.6452","0.6481","0.6441","","0.14%"
"11/14/2024","0.6452","0.6487","0.6497","0.6439","","-0.51%"
"11/13/2024","0.6485","0.6534","0.6545","0.6478","","-0.73%"
"11/12/2024","0.6533","0.6572","0.6581","0.6511","","-0.62%"
"11/11/2024","0.6574","0.6582","0.6598","0.6561","","-0.09%"
"11/08/2024","0.6580","0.6672","0.6681","0.6556","","-1.47%"
"11/07/2024","0.6678","0.6566","0.6687","0.6562","","1.67%"
"11/06/2024","0.6568","0.6636","0.6644","0.6510","","-1.01%"
"11/05/2024","0.6635","0.6584","0.6641","0.6576","","0.77%"
"11/04/2024","0.6584","0.6568","0.6619","0.6568","","0.38%"
