"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","0.1375","0.1381","0.1381","0.1375","","-0.39%"
"12/01/2024","0.1381","0.1381","0.1381","0.1381","","0.00%"
"11/29/2024","0.1381","0.1382","0.1384","0.1380","","0.00%"
"11/28/2024","0.1380","0.1381","0.1381","0.1379","","0.00%"
"11/27/2024","0.1380","0.1380","0.1380","0.1378","","0.06%"
"11/26/2024","0.1379","0.1379","0.1380","0.1378","","-0.17%"
"11/25/2024","0.1381","0.1381","0.1381","0.1380","","0.08%"
"11/22/2024","0.1380","0.1380","0.1380","0.1379","","-0.11%"
"11/21/2024","0.1382","0.1381","0.1382","0.1381","","0.11%"
"11/20/2024","0.1380","0.1382","0.1382","0.1380","","-0.09%"
"11/19/2024","0.1381","0.1383","0.1383","0.1380","","0.00%"
"11/18/2024","0.1382","0.1382","0.1383","0.1380","","-0.06%"
"11/15/2024","0.1382","0.1382","0.1384","0.1381","","0.00%"
"11/14/2024","0.1383","0.1382","0.1383","0.1380","","-0.07%"
"11/13/2024","0.1384","0.1384","0.1388","0.1383","","0.10%"
"11/12/2024","0.1382","0.1385","0.1385","0.1381","","-0.24%"
"11/11/2024","0.1386","0.1393","0.1394","0.1386","","-0.51%"
"11/08/2024","0.1393","0.1398","0.1400","0.1393","","-0.52%"
"11/07/2024","0.1400","0.1392","0.1400","0.1391","","0.51%"
"11/06/2024","0.1393","0.1403","0.1404","0.1393","","-1.02%"
"11/05/2024","0.1407","0.1407","0.1408","0.1406","","-0.08%"
"11/04/2024","0.1409","0.1407","0.1411","0.1405","","0.34%"
