"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","0.00006275","0.00006315","0.00006315","0.00006275","","-0.64%"
"12/01/2024","0.00006315","0.00006315","0.00006315","0.00006315","","-99.90%"
"11/29/2024","0.06309000","0.06303000","0.06315000","0.06298000","","0.16%"
"11/28/2024","0.06299000","0.06299000","0.06313000","0.06292500","","0.38%"
"11/27/2024","0.06275000","0.06275000","0.06275000","0.06275000","","0.00%"
"11/26/2024","0.06275000","0.06284000","0.06291000","0.06273000","","-0.38%"
"11/25/2024","0.06299000","0.06297000","0.06310000","0.06294000","","0.03%"
"11/22/2024","0.06297000","0.06277000","0.06299000","0.06274000","","0.32%"
"11/21/2024","0.06277000","0.06287000","0.06289000","0.06266500","","-0.38%"
"11/20/2024","0.06301000","0.06311000","0.06317000","0.06299000","","-0.22%"
"11/19/2024","0.06315000","0.06325000","0.06333000","0.06314000","","0.13%"
"11/18/2024","0.06307000","0.06303000","0.06317000","0.06298000","","0.03%"
"11/15/2024","0.06305000","0.06283000","0.06307000","0.06269000","","0.00%"
"11/14/2024","0.06305000","0.06321000","0.06322000","0.06292000","","-0.50%"
"11/13/2024","0.06337000","0.06343000","0.06348000","0.06330000","","0.03%"
"11/12/2024","0.06335000","0.06351000","0.06356000","0.06329500","","-0.63%"
"11/11/2024","0.06375000","0.06393500","0.06396500","0.06372500","","-0.06%"
"11/08/2024","0.06379000","0.06399500","0.06402500","0.06370000","","0.41%"
"11/07/2024","0.06353000","0.06323000","0.06355000","0.06317000","","100,464.80%"
"11/06/2024","0.00006317","0.00006362","0.00006368","0.00006294","","-0.71%"
"11/05/2024","0.00006362","0.00006330","0.00006374","0.00006330","","0.52%"
"11/04/2024","0.00006330","0.00006310","0.00006360","0.00006310","","0.21%"
