"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","0.711765","0.716350","0.716460","0.710595","","-0.57%"
"11/29/2024","0.715880","0.716545","0.719400","0.714660","","0.04%"
"11/28/2024","0.715590","0.718365","0.719430","0.715290","","-0.35%"
"11/27/2024","0.718090","0.715645","0.719645","0.714340","","0.42%"
"11/26/2024","0.715090","0.714495","0.717325","0.709895","","0.26%"
"11/25/2024","0.713240","0.713210","0.715970","0.711855","","0.31%"
"11/22/2024","0.711030","0.713975","0.715005","0.709855","","-0.31%"
"11/21/2024","0.713240","0.714270","0.716830","0.712805","","0.00%"
"11/20/2024","0.713250","0.717635","0.720310","0.713360","","-0.52%"
"11/19/2024","0.717000","0.718405","0.720150","0.715615","","-0.09%"
"11/18/2024","0.717650","0.716355","0.720715","0.713720","","0.30%"
"11/15/2024","0.715490","0.711525","0.717820","0.709045","","0.61%"
"11/14/2024","0.711180","0.711530","0.714735","0.708235","","0.14%"
"11/13/2024","0.710180","0.710225","0.716490","0.708415","","0.12%"
"11/12/2024","0.709330","0.713830","0.715175","0.709045","","-0.50%"
"11/11/2024","0.712890","0.715275","0.718315","0.712775","","-0.18%"
"11/08/2024","0.714160","0.723035","0.723655","0.713910","","-1.17%"
"11/07/2024","0.722610","0.713260","0.724085","0.711765","","1.43%"
"11/06/2024","0.712420","0.725065","0.727525","0.711760","","-1.68%"
"11/05/2024","0.724570","0.727565","0.728080","0.723585","","-0.26%"
"11/04/2024","0.726430","0.725895","0.730680","0.724455","","0.41%"
"11/01/2024","0.723480","0.727910","0.728710","0.723895","","-0.52%"
"10/31/2024","0.727270","0.724890","0.728350","0.723375","","0.42%"
"10/30/2024","0.724240","0.722385","0.727755","0.721395","","0.33%"
"10/29/2024","0.721830","0.723155","0.725610","0.719185","","-0.13%"
"10/28/2024","0.722790","0.719445","0.723675","0.719005","","0.43%"
"10/25/2024","0.719710","0.724945","0.726460","0.717265","","-0.68%"
"10/24/2024","0.724610","0.724335","0.726000","0.722635","","0.08%"
"10/23/2024","0.724000","0.724710","0.725945","0.721340","","0.02%"
"10/22/2024","0.723870","0.724755","0.726435","0.722910","","-0.07%"
"10/21/2024","0.724360","0.730045","0.731870","0.723515","","-0.71%"
"10/18/2024","0.729570","0.729275","0.731140","0.727515","","0.15%"
"10/17/2024","0.728500","0.732910","0.734245","0.727790","","-0.55%"
"10/16/2024","0.732530","0.733105","0.735590","0.731130","","0.06%"
"10/15/2024","0.732110","0.736160","0.737810","0.731320","","-0.41%"
"10/14/2024","0.735150","0.741110","0.741115","0.734440","","-0.74%"
"10/11/2024","0.740610","0.740325","0.743455","0.738750","","0.16%"
"10/10/2024","0.739450","0.742140","0.743790","0.737465","","-0.23%"
"10/09/2024","0.741150","0.745560","0.746925","0.741340","","-0.44%"
"10/08/2024","0.744460","0.743005","0.745920","0.739730","","0.25%"
"10/07/2024","0.742600","0.742460","0.744715","0.740380","","0.05%"
"10/04/2024","0.742200","0.748980","0.751365","0.739660","","-0.76%"
"10/03/2024","0.747900","0.754670","0.756040","0.747235","","-0.80%"
"10/02/2024","0.753960","0.754830","0.759145","0.754105","","-0.04%"
"10/01/2024","0.754250","0.758980","0.760120","0.754140","","-0.36%"
"09/30/2024","0.756990","0.763355","0.767490","0.758010","","-0.66%"
"09/27/2024","0.762020","0.761200","0.765400","0.755580","","0.18%"
"09/26/2024","0.760630","0.748760","0.761660","0.748000","","1.74%"
"09/25/2024","0.747640","0.754175","0.755670","0.746830","","-0.81%"
"09/24/2024","0.753740","0.749585","0.754645","0.747085","","0.59%"
"09/23/2024","0.749340","0.750465","0.750785","0.746025","","-0.08%"
"09/20/2024","0.749970","0.752615","0.753705","0.747265","","-0.21%"
"09/19/2024","0.751580","0.753690","0.754825","0.747755","","-0.56%"
"09/18/2024","0.755800","0.757150","0.759425","0.752995","","-0.15%"
"09/17/2024","0.756960","0.757080","0.760190","0.756510","","0.18%"
"09/16/2024","0.755620","0.751855","0.759250","0.751305","","0.56%"
"09/13/2024","0.751380","0.747760","0.754775","0.747065","","0.57%"
"09/12/2024","0.747140","0.746385","0.748490","0.744060","","0.16%"
"09/11/2024","0.745920","0.743875","0.748150","0.743210","","0.36%"
"09/10/2024","0.743270","0.744695","0.746380","0.742735","","-0.09%"
"09/09/2024","0.743910","0.746955","0.747850","0.741545","","-0.30%"
"09/06/2024","0.746130","0.749840","0.754485","0.745960","","-0.45%"
"09/05/2024","0.749520","0.748970","0.751095","0.746765","","0.15%"
"09/04/2024","0.748370","0.745705","0.749980","0.743515","","0.44%"
"09/03/2024","0.745110","0.747240","0.748600","0.743445","","-0.23%"
"09/02/2024","0.746810","0.747620","0.748480","0.745325","","-0.03%"
"08/30/2024","0.747060","0.749430","0.750835","0.746780","","-0.22%"
"08/29/2024","0.748720","0.747665","0.753420","0.746665","","0.24%"
"08/28/2024","0.746940","0.753385","0.753705","0.746270","","-0.75%"
"08/27/2024","0.752570","0.752640","0.753855","0.748755","","0.10%"
"08/26/2024","0.751810","0.754840","0.758825","0.751905","","-0.32%"
"08/23/2024","0.754190","0.744765","0.755650","0.744000","","1.31%"
"08/22/2024","0.744440","0.749465","0.751090","0.743875","","-0.57%"
"08/21/2024","0.748720","0.752280","0.754020","0.745985","","-0.45%"
"08/20/2024","0.752120","0.750545","0.755095","0.747885","","0.31%"
"08/19/2024","0.749810","0.740715","0.751995","0.740215","","1.31%"
"08/16/2024","0.740130","0.732505","0.741205","0.731790","","1.16%"
"08/15/2024","0.731670","0.736210","0.738270","0.731525","","-0.57%"
"08/14/2024","0.735830","0.733700","0.738935","0.732425","","0.37%"
"08/13/2024","0.733110","0.729750","0.734240","0.727855","","0.57%"
"08/12/2024","0.728930","0.732495","0.733610","0.727825","","-0.36%"
"08/09/2024","0.731590","0.727765","0.734920","0.725650","","0.62%"
"08/08/2024","0.727050","0.726665","0.727955","0.724500","","0.15%"
"08/07/2024","0.725960","0.726950","0.728500","0.724840","","-0.03%"
"08/06/2024","0.726210","0.730920","0.732175","0.724370","","-0.56%"
"08/05/2024","0.730300","0.736295","0.738290","0.727585","","-0.71%"
"08/02/2024","0.735510","0.729720","0.736750","0.725265","","0.92%"
"08/01/2024","0.728830","0.730360","0.734790","0.729040","","-0.18%"
"07/31/2024","0.730120","0.722370","0.731635","0.721120","","1.18%"
"07/30/2024","0.721600","0.723670","0.724950","0.720960","","-0.19%"
"07/29/2024","0.723000","0.722110","0.724795","0.720780","","0.20%"
"07/26/2024","0.721590","0.722675","0.724055","0.720185","","-0.04%"
"07/25/2024","0.721910","0.722670","0.725050","0.719970","","-0.02%"
"07/24/2024","0.722060","0.721475","0.725290","0.719995","","0.19%"
"07/23/2024","0.720680","0.720460","0.723565","0.719895","","0.10%"
"07/22/2024","0.719940","0.719505","0.721180","0.718845","","0.14%"
"07/19/2024","0.718940","0.721490","0.722725","0.718330","","-0.27%"
"07/18/2024","0.720900","0.724810","0.726860","0.720950","","-0.46%"
"07/17/2024","0.724200","0.722620","0.727030","0.722040","","0.30%"
"07/16/2024","0.722060","0.721855","0.723795","0.720470","","0.14%"
"07/15/2024","0.721080","0.727200","0.727600","0.721410","","-0.73%"
"07/12/2024","0.726400","0.728695","0.730170","0.724490","","-0.22%"
"07/11/2024","0.728000","0.722565","0.730015","0.722100","","0.84%"
"07/10/2024","0.721970","0.722610","0.723545","0.720255","","0.00%"
"07/09/2024","0.721940","0.722445","0.724290","0.720850","","0.08%"
"07/08/2024","0.721360","0.725945","0.726500","0.721495","","-0.57%"
"07/05/2024","0.725510","0.724465","0.726665","0.722365","","0.35%"
"07/04/2024","0.722950","0.720665","0.725015","0.720420","","0.38%"
"07/03/2024","0.720220","0.721115","0.723825","0.718050","","-0.07%"
"07/02/2024","0.720750","0.722785","0.723655","0.719000","","-0.20%"
"07/01/2024","0.722170","0.723960","0.726055","0.721720","","-0.21%"
"06/28/2024","0.723680","0.720605","0.727460","0.719330","","0.53%"
"06/27/2024","0.719900","0.717195","0.722805","0.716450","","0.48%"
"06/26/2024","0.716470","0.718600","0.720630","0.716715","","-0.21%"
"06/25/2024","0.718010","0.721085","0.722620","0.718055","","-0.40%"
"06/24/2024","0.720870","0.719965","0.722285","0.717760","","0.20%"
"06/21/2024","0.719410","0.718070","0.721540","0.717390","","0.24%"
"06/20/2024","0.717690","0.723350","0.724620","0.717580","","-0.68%"
"06/19/2024","0.722580","0.724770","0.725980","0.722535","","-0.22%"
"06/18/2024","0.724170","0.724665","0.725880","0.721510","","0.04%"
"06/17/2024","0.723870","0.722900","0.725785","0.722325","","0.25%"
"06/14/2024","0.722100","0.726490","0.727440","0.720755","","-0.52%"
"06/13/2024","0.725880","0.729300","0.732285","0.725170","","-0.38%"
"06/12/2024","0.728680","0.725315","0.733350","0.723970","","0.58%"
"06/11/2024","0.724500","0.727370","0.727510","0.723905","","-0.31%"
"06/10/2024","0.726730","0.724600","0.727910","0.722900","","0.39%"
"06/07/2024","0.723920","0.732805","0.733590","0.724285","","-1.07%"
"06/06/2024","0.731740","0.730000","0.733130","0.729445","","0.36%"
"06/05/2024","0.729150","0.727575","0.731385","0.725655","","0.32%"
"06/04/2024","0.726790","0.729020","0.730505","0.725070","","-0.21%"
"06/03/2024","0.728310","0.723005","0.729300","0.722645","","0.84%"
"05/31/2024","0.722250","0.726580","0.727815","0.720125","","-0.50%"
"05/30/2024","0.725850","0.729145","0.730415","0.723415","","-0.33%"
"05/29/2024","0.728280","0.733200","0.734670","0.728835","","-0.56%"
"05/28/2024","0.732370","0.734380","0.737855","0.732795","","-0.19%"
"05/27/2024","0.733770","0.731520","0.734850","0.730625","","0.43%"
"05/24/2024","0.730620","0.730620","0.732740","0.728105","","0.11%"
"05/23/2024","0.729850","0.731695","0.735290","0.730120","","-0.18%"
"05/22/2024","0.731140","0.732915","0.735340","0.730690","","-0.13%"
"05/21/2024","0.732060","0.734505","0.735900","0.730565","","-0.22%"
"05/20/2024","0.733700","0.738655","0.738845","0.733800","","-0.61%"
"05/17/2024","0.738170","0.740865","0.742275","0.735280","","-0.25%"
"05/16/2024","0.740020","0.738835","0.744660","0.738140","","0.17%"
"05/15/2024","0.738760","0.732335","0.739450","0.731520","","0.93%"
"05/14/2024","0.731960","0.731600","0.733340","0.728825","","0.10%"
"05/13/2024","0.731200","0.729335","0.732515","0.728215","","0.36%"
"05/10/2024","0.728550","0.732015","0.733310","0.728860","","-0.40%"
"05/09/2024","0.731480","0.732540","0.733590","0.728035","","-0.09%"
"05/08/2024","0.732170","0.735590","0.736840","0.730785","","-0.42%"
"05/07/2024","0.735250","0.737730","0.739000","0.734445","","-0.29%"
"05/06/2024","0.737410","0.736785","0.739015","0.734565","","0.11%"
"05/03/2024","0.736570","0.731025","0.742220","0.728460","","0.85%"
"05/02/2024","0.730350","0.725425","0.731750","0.722740","","0.80%"
"05/01/2024","0.724530","0.721485","0.725305","0.720345","","0.47%"
"04/30/2024","0.721150","0.727015","0.728215","0.720995","","-0.76%"
"04/29/2024","0.726680","0.725630","0.728220","0.722300","","0.24%"
"04/26/2024","0.724930","0.728770","0.729815","0.724950","","-0.47%"
"04/25/2024","0.728370","0.725795","0.729050","0.724675","","0.41%"
"04/24/2024","0.725390","0.727885","0.731525","0.725365","","-0.29%"
"04/23/2024","0.727470","0.724985","0.729170","0.724520","","0.39%"
"04/22/2024","0.724670","0.727005","0.727530","0.722515","","-0.32%"
"04/19/2024","0.726980","0.724360","0.727385","0.717530","","0.44%"
"04/18/2024","0.723780","0.724560","0.729315","0.722845","","-0.02%"
"04/17/2024","0.723890","0.719445","0.724910","0.718240","","0.65%"
"04/16/2024","0.719210","0.720430","0.720825","0.713860","","-0.09%"
"04/15/2024","0.719840","0.724320","0.724555","0.718740","","-0.55%"
"04/12/2024","0.723850","0.730730","0.731850","0.721210","","-0.84%"
"04/11/2024","0.730010","0.733120","0.734485","0.729205","","-0.38%"
"04/10/2024","0.732800","0.739415","0.742760","0.731735","","-0.79%"
"04/09/2024","0.738660","0.738085","0.740515","0.736820","","0.18%"
"04/08/2024","0.737310","0.740040","0.740215","0.736770","","-0.34%"
"04/05/2024","0.739840","0.739830","0.741605","0.737295","","0.04%"
"04/04/2024","0.739520","0.743225","0.744575","0.739640","","-0.44%"
"04/03/2024","0.742820","0.739685","0.743430","0.738780","","0.46%"
"04/02/2024","0.739430","0.738725","0.742015","0.737320","","0.12%"
"04/01/2024","0.738530","0.742755","0.744705","0.737345","","-0.47%"
"03/29/2024","0.742040","0.740350","0.744300","0.740310","","0.34%"
"03/28/2024","0.739490","0.740435","0.744795","0.738905","","-0.07%"
"03/27/2024","0.740040","0.743990","0.745450","0.738760","","-0.44%"
"03/26/2024","0.743320","0.746465","0.749475","0.743390","","-0.36%"
"03/25/2024","0.746020","0.743990","0.749240","0.743585","","0.44%"
"03/22/2024","0.742720","0.748825","0.752045","0.742065","","-0.72%"
"03/21/2024","0.748080","0.751485","0.756540","0.748185","","-0.36%"
"03/20/2024","0.750750","0.747665","0.751680","0.745030","","0.43%"
"03/19/2024","0.747530","0.747940","0.748505","0.745395","","0.01%"
"03/18/2024","0.747490","0.751250","0.751750","0.747310","","-0.48%"
"03/15/2024","0.751120","0.754880","0.756145","0.749925","","-0.40%"
"03/14/2024","0.754150","0.760995","0.762365","0.754265","","-0.88%"
"03/13/2024","0.760850","0.762100","0.763740","0.757720","","-0.07%"
"03/12/2024","0.761420","0.762400","0.764750","0.760845","","-0.06%"
"03/11/2024","0.761880","0.759325","0.765095","0.758230","","0.49%"
"03/08/2024","0.758150","0.755165","0.762290","0.753525","","0.48%"
"03/07/2024","0.754530","0.751805","0.755575","0.750220","","0.45%"
"03/06/2024","0.751180","0.748170","0.752340","0.747500","","0.49%"
"03/05/2024","0.747510","0.750720","0.751665","0.747535","","-0.34%"
"03/04/2024","0.750070","0.751255","0.753035","0.749950","","0.01%"
"03/01/2024","0.750010","0.748600","0.751110","0.747800","","0.26%"
"02/29/2024","0.748040","0.748555","0.751420","0.747615","","0.02%"
"02/28/2024","0.747920","0.750565","0.751575","0.747295","","-0.33%"
"02/27/2024","0.750410","0.750535","0.752130","0.749795","","0.02%"
"02/26/2024","0.750270","0.751820","0.752915","0.749980","","-0.06%"
"02/23/2024","0.750720","0.753285","0.753705","0.749445","","-0.32%"
"02/22/2024","0.753130","0.749985","0.755170","0.749040","","0.44%"
"02/21/2024","0.749810","0.749555","0.750825","0.747440","","0.06%"
"02/20/2024","0.749370","0.749120","0.750885","0.746530","","0.12%"
"02/19/2024","0.748460","0.750215","0.751505","0.748185","","-0.16%"
"02/16/2024","0.749690","0.752150","0.752730","0.747705","","-0.34%"
"02/15/2024","0.752230","0.750685","0.752750","0.748900","","0.19%"
"02/14/2024","0.750830","0.745590","0.751875","0.745370","","0.74%"
"02/13/2024","0.745320","0.752265","0.753725","0.744060","","-0.88%"
"02/12/2024","0.751910","0.750955","0.753015","0.750260","","0.23%"
"02/09/2024","0.750180","0.750435","0.752005","0.749530","","0.06%"
"02/08/2024","0.749720","0.752620","0.754700","0.749630","","-0.36%"
"02/07/2024","0.752400","0.753425","0.756270","0.751710","","-0.10%"
"02/06/2024","0.753190","0.749655","0.754595","0.749075","","0.53%"
"02/05/2024","0.749200","0.747660","0.751695","0.746535","","0.43%"
"02/02/2024","0.745970","0.752025","0.757360","0.746475","","-0.75%"
"02/01/2024","0.751580","0.749360","0.752500","0.748335","","0.44%"
"01/31/2024","0.748320","0.751255","0.753225","0.747945","","-0.46%"
"01/30/2024","0.751760","0.749840","0.753770","0.749600","","0.31%"
"01/29/2024","0.749470","0.747405","0.751045","0.746700","","0.27%"
"01/26/2024","0.747430","0.747765","0.750295","0.746405","","-0.01%"
"01/25/2024","0.747520","0.749955","0.750480","0.746975","","-0.26%"
"01/24/2024","0.749470","0.746765","0.752655","0.745480","","0.46%"
"01/23/2024","0.746070","0.746515","0.751100","0.745185","","-0.02%"
"01/22/2024","0.746240","0.749760","0.751640","0.745430","","-0.37%"
"01/19/2024","0.749000","0.746405","0.750690","0.746265","","0.44%"
"01/18/2024","0.745700","0.743270","0.748695","0.742390","","0.37%"
"01/17/2024","0.742920","0.746820","0.747925","0.740400","","-0.46%"
"01/16/2024","0.746330","0.757235","0.757450","0.745865","","-1.37%"
"01/15/2024","0.756670","0.761060","0.761310","0.755790","","-0.55%"
"01/12/2024","0.760870","0.760685","0.764935","0.758895","","0.08%"
