"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","85.134","85.166","85.342","85.001","","0.31%"
"12/18/2024","84.867","84.907","84.975","84.840","","-0.04%"
"12/17/2024","84.902","84.882","84.955","84.877","","0.01%"
"12/16/2024","84.890","84.846","84.931","84.794","","0.13%"
"12/13/2024","84.782","84.828","84.897","84.766","","-0.05%"
"12/12/2024","84.825","84.847","84.903","84.823","","0.04%"
"12/11/2024","84.795","84.891","84.919","84.800","","-0.10%"
"12/10/2024","84.880","84.848","84.915","84.775","","0.06%"
"12/09/2024","84.829","84.704","84.915","84.675","","0.19%"
"12/06/2024","84.668","84.685","84.718","84.529","","-0.02%"
"12/05/2024","84.684","84.713","84.758","84.673","","-0.01%"
"12/04/2024","84.693","84.690","84.777","84.644","","0.02%"
"12/03/2024","84.676","84.726","84.801","84.630","","-0.08%"
"12/02/2024","84.740","84.572","84.761","84.560","","0.21%"
"11/29/2024","84.559","84.476","84.640","84.459","","0.13%"
"11/28/2024","84.445","84.436","84.505","84.427","","0.04%"
"11/27/2024","84.410","84.313","84.475","84.307","","0.11%"
"11/26/2024","84.319","84.266","84.350","84.220","","0.07%"
"11/25/2024","84.260","84.378","84.422","84.221","","-0.20%"
"11/22/2024","84.426","84.495","84.511","84.374","","-0.08%"
"11/21/2024","84.495","84.362","84.495","84.347","","0.16%"
"11/20/2024","84.360","84.389","84.404","84.321","","-0.04%"
"11/19/2024","84.390","84.396","84.420","84.353","","-0.01%"
"11/18/2024","84.398","84.415","84.447","84.362","","-0.03%"
