"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","106.5016","107.4514","108.5098","105.7365","","-0.88%"
"12/01/2024","107.4514","107.2409","107.5366","107.1395","","0.90%"
"11/29/2024","106.4955","108.6100","110.0000","104.5000","","-1.39%"
"11/28/2024","107.9955","110.3100","112.0000","105.7500","","-4.55%"
"11/27/2024","113.1455","105.4100","114.5000","103.3100","","7.25%"
"11/26/2024","105.4955","103.5600","107.9500","102.5000","","1.44%"
"11/25/2024","103.9955","102.2100","104.1500","102.2100","","-0.34%"
"11/22/2024","104.3455","100.5100","104.3500","100.3600","","3.01%"
"11/21/2024","101.2955","100.0000","101.4500","100.0000","","0.70%"
"11/20/2024","100.5955","99.8268","100.7500","99.7500","","0.02%"
"11/19/2024","100.5705","99.8600","101.0750","99.8100","","0.83%"
"11/18/2024","99.7455","99.6600","100.5500","99.5600","","-0.25%"
"11/15/2024","99.9955","99.5100","100.4000","99.0000","","0.50%"
"11/14/2024","99.5000","98.2600","100.7500","97.5000","","1.02%"
"11/13/2024","98.4955","97.7500","98.7000","97.7500","","0.25%"
"11/12/2024","98.2455","97.5600","98.2500","97.5600","","2.34%"
"11/11/2024","95.9955","97.3100","98.7000","95.5000","","-1.64%"
"11/08/2024","97.5955","97.9100","98.2100","96.9000","","-0.41%"
"11/07/2024","97.9955","98.3600","98.3600","96.6000","","0.80%"
"11/06/2024","97.2205","95.0000","100.5000","95.0000","","-0.59%"
"11/05/2024","97.7955","98.3600","98.7250","97.3000","","-0.56%"
"11/04/2024","98.3500","97.4100","99.0500","97.4100","","0.36%"
