"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/13/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/12/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/11/2013","4.4115","4.3950","4.4135","4.3930","","0.00%"
"06/10/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/08/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/07/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/06/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/05/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/04/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/03/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"06/01/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/31/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/30/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/29/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/28/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/27/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/25/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/24/2013","4.4115","4.3950","4.4135","4.3930","","-0.03%"
"05/23/2013","4.4130","4.3930","4.4130","4.3930","","0.03%"
"05/22/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/21/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/20/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/18/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/17/2013","4.4115","4.3930","4.4115","4.3930","","0.00%"
"05/16/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"05/15/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"05/14/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"05/13/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"05/11/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"05/10/2013","4.4150","4.3930","4.4150","4.3930","","0.00%"
"05/09/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"05/08/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"05/07/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"05/06/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"05/04/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"05/03/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"05/02/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"05/01/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"04/30/2013","4.4150","4.3930","4.4150","4.3930","","0.00%"
"04/29/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/27/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"04/26/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"04/25/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"04/24/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/23/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/22/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/20/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"04/19/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"04/18/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"04/17/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"04/16/2013","4.4115","4.4000","4.4185","4.3920","","0.00%"
"04/15/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"04/13/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"04/12/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/11/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"04/10/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
