"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","34.506","34.369","34.560","34.333","","0.39%"
"12/01/2024","34.370","34.311","34.375","34.310","","0.29%"
"11/29/2024","34.270","34.410","34.455","34.190","","-0.35%"
"11/28/2024","34.390","34.515","34.595","34.370","","-0.12%"
"11/27/2024","34.430","34.700","34.785","34.405","","-0.72%"
"11/26/2024","34.680","34.610","34.795","34.575","","0.29%"
"11/25/2024","34.580","34.475","34.700","34.370","","0.46%"
"11/22/2024","34.420","34.705","34.800","34.445","","-0.81%"
"11/21/2024","34.700","34.700","34.775","34.575","","0.09%"
"11/20/2024","34.670","34.520","34.765","34.475","","0.55%"
"11/19/2024","34.480","34.580","34.685","34.470","","-0.20%"
"11/18/2024","34.550","34.855","34.880","34.525","","-0.75%"
"11/15/2024","34.810","35.000","35.075","34.750","","-0.40%"
"11/14/2024","34.950","34.885","35.170","34.775","","0.40%"
"11/13/2024","34.810","34.820","34.950","34.560","","0.06%"
"11/12/2024","34.790","34.515","34.890","34.455","","0.90%"
"11/11/2024","34.480","34.265","34.600","34.215","","1.03%"
"11/08/2024","34.130","33.960","34.335","33.915","","0.62%"
"11/07/2024","33.920","34.345","34.465","33.920","","-1.11%"
"11/06/2024","34.300","33.595","34.400","33.520","","2.27%"
"11/05/2024","33.540","33.775","33.800","33.545","","-0.62%"
"11/04/2024","33.750","33.860","33.925","33.630","","-0.56%"
