Date,Close,Open,High,Low,Volume,Change%
2024-12-03,6.275e-05,6.275e-05,6.275e-05,6.275e-05,,0.00%
2024-12-02,6.275e-05,6.315e-05,6.315e-05,6.275e-05,,-0.64%
2024-12-01,6.315e-05,6.315e-05,6.315e-05,6.315e-05,,-99.90%
2024-11-29,0.06309,0.06303,0.06315,0.06298,,0.16%
2024-11-28,0.06299,0.06299,0.06313,0.062925,,0.38%
2024-11-27,0.06275,0.06275,0.06275,0.06275,,0.00%
2024-11-26,0.06275,0.06284,0.06291,0.06273,,-0.38%
2024-11-25,0.06299,0.06297,0.0631,0.06294,,0.03%
2024-11-22,0.06297,0.06277,0.06299,0.06274,,0.32%
2024-11-21,0.06277,0.06287,0.06289,0.062665,,-0.38%
2024-11-20,0.06301,0.06311,0.06317,0.06299,,-0.22%
2024-11-19,0.06315,0.06325,0.06333,0.06314,,0.13%
2024-11-18,0.06307,0.06303,0.06317,0.06298,,0.03%
2024-11-15,0.06305,0.06283,0.06307,0.06269,,0.00%
2024-11-14,0.06305,0.06321,0.06322,0.06292,,-0.50%
2024-11-13,0.06337,0.06343,0.06348,0.0633,,0.03%
2024-11-12,0.06335,0.06351,0.06356,0.063295,,-0.63%
2024-11-11,0.06375,0.063935,0.063965,0.063725,,-0.06%
2024-11-08,0.06379,0.063995,0.064025,0.0637,,0.41%
2024-11-07,0.06353,0.06323,0.06355,0.06317,,"100,464.80%"
2024-11-06,6.317e-05,6.362e-05,6.368e-05,6.294e-05,,-0.71%
2024-11-05,6.362e-05,6.33e-05,6.374e-05,6.33e-05,,0.52%
2024-11-04,6.33e-05,6.31e-05,6.36e-05,6.31e-05,,0.21%
2024-11-01,6.316e-05,6.36e-05,6.373e-05,6.297e-05,,-0.69%
2024-10-31,6.36e-05,6.369e-05,6.377e-05,6.347e-05,,-0.13%
2024-10-30,6.368e-05,6.34e-05,6.396e-05,6.34e-05,,0.45%
2024-10-29,6.34e-05,6.348e-05,6.358e-05,6.333e-05,,-0.13%
2024-10-28,6.348e-05,6.365e-05,6.394e-05,6.348e-05,,-0.36%
2024-10-25,6.371e-05,6.395e-05,6.514e-05,6.351e-05,,-0.39%
2024-10-24,6.395e-05,6.382e-05,6.429e-05,6.382e-05,,0.21%
2024-10-23,6.382e-05,6.413e-05,6.423e-05,6.37e-05,,-0.49%
2024-10-22,6.413e-05,6.426e-05,6.44e-05,6.413e-05,,-0.19%
2024-10-21,6.426e-05,6.462e-05,6.482e-05,6.425e-05,,-0.55%
2024-10-18,6.461e-05,6.441e-05,6.474e-05,6.438e-05,,0.31%
2024-10-17,6.441e-05,6.415e-05,6.456e-05,6.414e-05,,0.42%
2024-10-16,6.415e-05,6.416e-05,6.453e-05,6.414e-05,,-0.03%
2024-10-15,6.416e-05,6.418e-05,6.446e-05,6.41e-05,,-0.04%
2024-10-14,6.419e-05,6.423e-05,6.428e-05,6.401e-05,,-0.07%
2024-10-11,6.423e-05,6.374e-05,6.431e-05,6.374e-05,,0.76%
2024-10-10,6.374e-05,6.366e-05,6.395e-05,6.359e-05,,0.12%
2024-10-09,6.366e-05,6.373e-05,6.422e-05,6.366e-05,,-0.10%
2024-10-08,6.373e-05,6.349e-05,6.396e-05,6.349e-05,,0.38%
2024-10-07,6.349e-05,6.382e-05,6.407e-05,6.344e-05,,-0.51%
2024-10-04,6.382e-05,6.463e-05,6.476e-05,6.357e-05,,-1.17%
2024-10-03,6.457e-05,6.534e-05,6.536e-05,6.446e-05,,-1.15%
2024-10-02,6.532e-05,6.545e-05,6.581e-05,6.524e-05,,-0.18%
2024-10-01,6.544e-05,6.577e-05,6.589e-05,6.542e-05,,-0.50%
2024-09-30,6.577e-05,6.612e-05,6.633e-05,6.575e-05,,-0.53%
2024-09-27,6.612e-05,6.608e-05,6.634e-05,6.569e-05,,0.06%
2024-09-26,6.608e-05,6.571e-05,6.64e-05,6.571e-05,,0.57%
2024-09-25,6.571e-05,6.605e-05,6.638e-05,6.57e-05,,-0.52%
2024-09-24,6.605e-05,6.581e-05,6.641e-05,6.572e-05,,0.38%
2024-09-23,6.58e-05,6.596e-05,6.605e-05,6.563e-05,,-0.24%
2024-09-20,6.596e-05,6.578e-05,6.648e-05,6.563e-05,,0.27%
2024-09-19,6.578e-05,6.527e-05,6.608e-05,6.495e-05,,0.78%
2024-09-18,6.527e-05,6.514e-05,6.599e-05,6.506e-05,,0.20%
2024-09-17,6.514e-05,6.497e-05,6.534e-05,6.492e-05,,0.27%
2024-09-16,6.496e-05,6.494e-05,6.513e-05,6.491e-05,,0.12%
2024-09-13,6.489e-05,6.478e-05,6.511e-05,6.476e-05,,0.16%
2024-09-12,6.478e-05,6.475e-05,6.494e-05,6.466e-05,,0.00%
2024-09-11,6.478e-05,6.454e-05,6.498e-05,6.453e-05,,0.34%
2024-09-10,6.456e-05,6.458e-05,6.484e-05,6.453e-05,,-0.06%
2024-09-09,6.46e-05,6.488e-05,6.49e-05,6.448e-05,,-0.14%
2024-09-06,6.469e-05,6.484e-05,6.514e-05,6.459e-05,,-0.22%
2024-09-05,6.483e-05,6.469e-05,6.511e-05,6.466e-05,,0.22%
2024-09-04,6.469e-05,6.428e-05,6.48e-05,6.428e-05,,0.60%
2024-09-03,6.43e-05,6.428e-05,6.45e-05,6.415e-05,,0.03%
2024-09-02,6.429e-05,6.438e-05,6.444e-05,6.426e-05,,-0.15%
2024-08-30,6.438e-05,6.466e-05,6.488e-05,6.435e-05,,-0.43%
2024-08-29,6.466e-05,6.473e-05,6.644e-05,6.426e-05,,-0.11%
2024-08-28,6.473e-05,6.46e-05,6.498e-05,6.435e-05,,0.21%
2024-08-27,6.46e-05,6.459e-05,6.473e-05,6.427e-05,,0.01%
2024-08-26,6.459e-05,6.493e-05,6.533e-05,6.458e-05,,-0.53%
2024-08-23,6.493e-05,6.349e-05,6.507e-05,6.348e-05,,2.27%
2024-08-22,6.349e-05,6.452e-05,6.455e-05,6.348e-05,,-1.55%
2024-08-21,6.449e-05,6.473e-05,6.483e-05,6.44e-05,,-0.38%
2024-08-20,6.473e-05,6.439e-05,6.49e-05,6.429e-05,,0.52%
2024-08-19,6.439e-05,6.373e-05,6.447e-05,6.373e-05,,0.96%
2024-08-16,6.378e-05,6.34e-05,6.412e-05,6.301e-05,,0.60%
2024-08-15,6.34e-05,6.397e-05,6.41e-05,6.331e-05,,-0.89%
2024-08-14,6.397e-05,6.347e-05,6.433e-05,6.347e-05,,0.79%
2024-08-13,6.347e-05,6.264e-05,6.362e-05,6.264e-05,,1.32%
2024-08-12,6.264e-05,6.279e-05,6.284e-05,6.252e-05,,-0.14%
2024-08-09,6.273e-05,6.255e-05,6.293e-05,6.254e-05,,0.29%
2024-08-08,6.255e-05,6.238e-05,6.297e-05,6.238e-05,,0.27%
2024-08-07,6.238e-05,6.182e-05,6.254e-05,6.179e-05,,0.90%
2024-08-06,6.183e-05,6.165e-05,6.197e-05,6.164e-05,,0.29%
