Date,Close,Open,High,Low,Volume,Change%
2024-12-02,0.6685,0.66725,0.67075,0.66335,,0.18%
2024-12-01,0.6673,0.6683,0.66885,0.66635,,-0.04%
2024-11-29,0.6676,0.6598,0.669,0.6597,,1.18%
2024-11-28,0.6598,0.6619,0.6626,0.6578,,-0.29%
2024-11-27,0.6617,0.6531,0.6646,0.6525,,1.32%
2024-11-26,0.6531,0.6485,0.6536,0.6472,,0.72%
2024-11-25,0.6484,0.6483,0.6512,0.6461,,0.36%
2024-11-22,0.6461,0.647,0.6494,0.645,,-0.14%
2024-11-21,0.647,0.6433,0.6497,0.6433,,0.58%
2024-11-20,0.6433,0.6465,0.6471,0.6414,,-0.49%
2024-11-19,0.6465,0.6464,0.6524,0.6459,,0.00%
2024-11-18,0.6465,0.6475,0.65,0.6436,,-0.22%
2024-11-15,0.6479,0.6398,0.6499,0.6379,,1.25%
2024-11-14,0.6399,0.6432,0.6437,0.6392,,-0.51%
2024-11-13,0.6432,0.6467,0.6479,0.6424,,-0.54%
2024-11-12,0.6467,0.6505,0.6518,0.6454,,-0.58%
2024-11-11,0.6505,0.6549,0.6551,0.6495,,-0.70%
2024-11-08,0.6551,0.6538,0.6572,0.652,,0.20%
2024-11-07,0.6538,0.6466,0.6549,0.6463,,1.10%
2024-11-06,0.6467,0.6595,0.6609,0.6462,,-1.94%
2024-11-05,0.6595,0.6573,0.6608,0.6553,,0.35%
2024-11-04,0.6572,0.6536,0.6599,0.6533,,0.57%
2024-11-01,0.6535,0.6577,0.6588,0.653,,-0.64%
2024-10-31,0.6577,0.6518,0.6586,0.651,,0.91%
2024-10-30,0.6518,0.652,0.6545,0.6514,,-0.03%
2024-10-29,0.652,0.6523,0.6546,0.6498,,-0.05%
2024-10-28,0.6523,0.6563,0.6564,0.6498,,-0.65%
2024-10-25,0.6566,0.6586,0.6602,0.6561,,-0.30%
2024-10-24,0.6586,0.6547,0.6598,0.6543,,0.61%
2024-10-23,0.6546,0.6619,0.6621,0.6527,,-1.10%
2024-10-22,0.6619,0.6629,0.6645,0.6612,,-0.15%
2024-10-21,0.6629,0.669,0.6707,0.6627,,-0.85%
2024-10-18,0.6686,0.6656,0.6695,0.6653,,0.44%
2024-10-17,0.6657,0.6682,0.67,0.6651,,-0.37%
2024-10-16,0.6682,0.6702,0.6717,0.6673,,-0.30%
2024-10-15,0.6702,0.6677,0.6718,0.6673,,0.37%
2024-10-14,0.6677,0.6705,0.6707,0.6665,,-0.40%
2024-10-11,0.6704,0.673,0.6738,0.6698,,-0.39%
2024-10-10,0.673,0.6697,0.674,0.6685,,0.49%
2024-10-09,0.6697,0.6747,0.6756,0.6693,,-0.76%
2024-10-08,0.6748,0.6748,0.6787,0.6738,,0.00%
2024-10-07,0.6748,0.6723,0.6763,0.6705,,0.37%
2024-10-04,0.6723,0.6805,0.6853,0.671,,-1.20%
2024-10-03,0.6805,0.6827,0.6836,0.6791,,-0.32%
2024-10-02,0.6827,0.6965,0.6972,0.6825,,-1.98%
2024-10-01,0.6965,0.6961,0.6994,0.6917,,0.06%
2024-09-30,0.6961,0.703,0.7059,0.6946,,-1.01%
2024-09-27,0.7032,0.6905,0.7038,0.6825,,1.82%
2024-09-26,0.6906,0.6907,0.6939,0.6885,,-0.03%
2024-09-25,0.6908,0.6981,0.6997,0.6904,,-1.05%
2024-09-24,0.6981,0.6962,0.6987,0.691,,0.26%
2024-09-23,0.6963,0.6947,0.6985,0.6922,,0.22%
2024-09-20,0.6948,0.7011,0.7055,0.6919,,-0.90%
2024-09-19,0.7011,0.7027,0.7048,0.6946,,-0.24%
2024-09-18,0.7028,0.7021,0.712,0.7006,,0.10%
2024-09-17,0.7021,0.7111,0.7126,0.7018,,-1.27%
2024-09-16,0.7111,0.7105,0.7164,0.7095,,0.15%
2024-09-13,0.71,0.705,0.7128,0.7048,,0.71%
2024-09-12,0.705,0.7024,0.7056,0.6989,,0.37%
2024-09-11,0.7024,0.7019,0.7106,0.7015,,0.07%
2024-09-10,0.7019,0.6985,0.7032,0.6957,,0.52%
2024-09-09,0.6983,0.7031,0.7044,0.6953,,-0.63%
2024-09-06,0.7027,0.697,0.7053,0.6947,,0.82%
2024-09-05,0.697,0.6957,0.7,0.6931,,0.19%
2024-09-04,0.6957,0.6873,0.6958,0.6869,,1.21%
2024-09-03,0.6874,0.6806,0.6888,0.6793,,1.01%
2024-09-02,0.6805,0.684,0.686,0.6793,,-0.51%
2024-08-30,0.684,0.6897,0.6913,0.6836,,-0.83%
2024-08-29,0.6897,0.6916,0.6933,0.6869,,-0.25%
2024-08-28,0.6914,0.6944,0.6959,0.6893,,-0.43%
2024-08-27,0.6944,0.6919,0.6948,0.6887,,0.36%
2024-08-26,0.6919,0.6933,0.6971,0.6913,,-0.09%
2024-08-23,0.6925,0.6836,0.6942,0.6825,,1.32%
2024-08-22,0.6835,0.6884,0.6904,0.6823,,-0.68%
2024-08-21,0.6882,0.6884,0.6922,0.682,,-0.03%
2024-08-20,0.6884,0.6821,0.6887,0.6785,,0.94%
2024-08-19,0.682,0.6772,0.6888,0.6754,,0.68%
2024-08-16,0.6774,0.6698,0.6776,0.6695,,1.15%
2024-08-15,0.6697,0.6787,0.68,0.6693,,-1.33%
2024-08-14,0.6787,0.681,0.6846,0.6776,,-0.34%
2024-08-13,0.681,0.6793,0.6821,0.6758,,0.25%
2024-08-12,0.6793,0.6815,0.6816,0.6745,,-0.38%
2024-08-09,0.6819,0.6789,0.6836,0.6764,,0.44%
2024-08-08,0.6789,0.6817,0.6876,0.6776,,-0.41%
2024-08-07,0.6817,0.6927,0.6929,0.676,,-1.60%
2024-08-06,0.6928,0.6936,0.6962,0.6831,,-0.09%
2024-08-05,0.6934,0.6825,0.7057,0.6822,,1.61%
2024-08-02,0.6824,0.6694,0.683,0.6676,,1.93%
2024-08-01,0.6695,0.6666,0.6733,0.6627,,0.42%
2024-07-31,0.6667,0.6544,0.6684,0.6504,,1.85%
2024-07-30,0.6546,0.6492,0.6551,0.6441,,0.83%
2024-07-29,0.6492,0.6501,0.6535,0.6478,,-0.20%
2024-07-26,0.6505,0.6495,0.653,0.6461,,0.15%
2024-07-25,0.6495,0.6497,0.6581,0.6479,,-0.03%
2024-07-24,0.6497,0.6426,0.6531,0.641,,1.10%
2024-07-23,0.6426,0.6367,0.6428,0.6365,,0.91%
2024-07-22,0.6368,0.6351,0.6398,0.6344,,0.32%
2024-07-19,0.6348,0.6354,0.6371,0.6333,,-0.09%
2024-07-18,0.6354,0.6403,0.6436,0.6352,,-0.75%
2024-07-17,0.6402,0.6314,0.6407,0.6304,,1.39%
2024-07-16,0.6314,0.6326,0.6329,0.6294,,-0.22%
2024-07-15,0.6328,0.6333,0.6362,0.6312,,-0.08%
2024-07-12,0.6333,0.6296,0.6354,0.6271,,0.59%
2024-07-11,0.6296,0.6186,0.6352,0.6181,,1.81%
2024-07-10,0.6184,0.6197,0.6201,0.6178,,-0.23%
2024-07-09,0.6198,0.6217,0.6221,0.619,,-0.31%
2024-07-08,0.6217,0.6222,0.6239,0.6205,,-0.06%
2024-07-05,0.6221,0.6201,0.6236,0.6195,,0.34%
2024-07-04,0.62,0.6184,0.6213,0.6183,,0.27%
2024-07-03,0.6183,0.6193,0.6219,0.6171,,-0.16%
2024-07-02,0.6193,0.6191,0.62,0.618,,0.00%
2024-07-01,0.6193,0.6215,0.6224,0.6181,,-0.37%
2024-06-28,0.6216,0.622,0.6239,0.62,,-0.06%
2024-06-27,0.622,0.6217,0.6239,0.6216,,0.05%
2024-06-26,0.6217,0.6261,0.6265,0.6215,,-0.70%
2024-06-25,0.6261,0.6265,0.6281,0.6257,,-0.06%
2024-06-24,0.6265,0.6256,0.6296,0.6252,,0.13%
2024-06-21,0.6257,0.6292,0.6302,0.6255,,-0.56%
2024-06-20,0.6292,0.6325,0.6332,0.6291,,-0.52%
2024-06-19,0.6325,0.6335,0.6345,0.6324,,-0.13%
2024-06-18,0.6333,0.6339,0.6348,0.6318,,-0.09%
2024-06-17,0.6339,0.6354,0.6363,0.633,,-0.22%
2024-06-14,0.6353,0.6367,0.6374,0.6317,,-0.22%
2024-06-13,0.6367,0.638,0.6386,0.6354,,-0.20%
