Date,Close,Open,High,Low,Volume,Change%
2024-12-02,0.711765,0.71635,0.71646,0.710595,,-0.57%
2024-11-29,0.71588,0.716545,0.7194,0.71466,,0.04%
2024-11-28,0.71559,0.718365,0.71943,0.71529,,-0.35%
2024-11-27,0.71809,0.715645,0.719645,0.71434,,0.42%
2024-11-26,0.71509,0.714495,0.717325,0.709895,,0.26%
2024-11-25,0.71324,0.71321,0.71597,0.711855,,0.31%
2024-11-22,0.71103,0.713975,0.715005,0.709855,,-0.31%
2024-11-21,0.71324,0.71427,0.71683,0.712805,,0.00%
2024-11-20,0.71325,0.717635,0.72031,0.71336,,-0.52%
2024-11-19,0.717,0.718405,0.72015,0.715615,,-0.09%
2024-11-18,0.71765,0.716355,0.720715,0.71372,,0.30%
2024-11-15,0.71549,0.711525,0.71782,0.709045,,0.61%
2024-11-14,0.71118,0.71153,0.714735,0.708235,,0.14%
2024-11-13,0.71018,0.710225,0.71649,0.708415,,0.12%
2024-11-12,0.70933,0.71383,0.715175,0.709045,,-0.50%
2024-11-11,0.71289,0.715275,0.718315,0.712775,,-0.18%
2024-11-08,0.71416,0.723035,0.723655,0.71391,,-1.17%
2024-11-07,0.72261,0.71326,0.724085,0.711765,,1.43%
2024-11-06,0.71242,0.725065,0.727525,0.71176,,-1.68%
2024-11-05,0.72457,0.727565,0.72808,0.723585,,-0.26%
2024-11-04,0.72643,0.725895,0.73068,0.724455,,0.41%
2024-11-01,0.72348,0.72791,0.72871,0.723895,,-0.52%
2024-10-31,0.72727,0.72489,0.72835,0.723375,,0.42%
2024-10-30,0.72424,0.722385,0.727755,0.721395,,0.33%
2024-10-29,0.72183,0.723155,0.72561,0.719185,,-0.13%
2024-10-28,0.72279,0.719445,0.723675,0.719005,,0.43%
2024-10-25,0.71971,0.724945,0.72646,0.717265,,-0.68%
2024-10-24,0.72461,0.724335,0.726,0.722635,,0.08%
2024-10-23,0.724,0.72471,0.725945,0.72134,,0.02%
2024-10-22,0.72387,0.724755,0.726435,0.72291,,-0.07%
2024-10-21,0.72436,0.730045,0.73187,0.723515,,-0.71%
2024-10-18,0.72957,0.729275,0.73114,0.727515,,0.15%
2024-10-17,0.7285,0.73291,0.734245,0.72779,,-0.55%
2024-10-16,0.73253,0.733105,0.73559,0.73113,,0.06%
2024-10-15,0.73211,0.73616,0.73781,0.73132,,-0.41%
2024-10-14,0.73515,0.74111,0.741115,0.73444,,-0.74%
2024-10-11,0.74061,0.740325,0.743455,0.73875,,0.16%
2024-10-10,0.73945,0.74214,0.74379,0.737465,,-0.23%
2024-10-09,0.74115,0.74556,0.746925,0.74134,,-0.44%
2024-10-08,0.74446,0.743005,0.74592,0.73973,,0.25%
2024-10-07,0.7426,0.74246,0.744715,0.74038,,0.05%
2024-10-04,0.7422,0.74898,0.751365,0.73966,,-0.76%
2024-10-03,0.7479,0.75467,0.75604,0.747235,,-0.80%
2024-10-02,0.75396,0.75483,0.759145,0.754105,,-0.04%
2024-10-01,0.75425,0.75898,0.76012,0.75414,,-0.36%
2024-09-30,0.75699,0.763355,0.76749,0.75801,,-0.66%
2024-09-27,0.76202,0.7612,0.7654,0.75558,,0.18%
2024-09-26,0.76063,0.74876,0.76166,0.748,,1.74%
2024-09-25,0.74764,0.754175,0.75567,0.74683,,-0.81%
2024-09-24,0.75374,0.749585,0.754645,0.747085,,0.59%
2024-09-23,0.74934,0.750465,0.750785,0.746025,,-0.08%
2024-09-20,0.74997,0.752615,0.753705,0.747265,,-0.21%
2024-09-19,0.75158,0.75369,0.754825,0.747755,,-0.56%
2024-09-18,0.7558,0.75715,0.759425,0.752995,,-0.15%
2024-09-17,0.75696,0.75708,0.76019,0.75651,,0.18%
2024-09-16,0.75562,0.751855,0.75925,0.751305,,0.56%
2024-09-13,0.75138,0.74776,0.754775,0.747065,,0.57%
2024-09-12,0.74714,0.746385,0.74849,0.74406,,0.16%
2024-09-11,0.74592,0.743875,0.74815,0.74321,,0.36%
2024-09-10,0.74327,0.744695,0.74638,0.742735,,-0.09%
2024-09-09,0.74391,0.746955,0.74785,0.741545,,-0.30%
2024-09-06,0.74613,0.74984,0.754485,0.74596,,-0.45%
2024-09-05,0.74952,0.74897,0.751095,0.746765,,0.15%
2024-09-04,0.74837,0.745705,0.74998,0.743515,,0.44%
2024-09-03,0.74511,0.74724,0.7486,0.743445,,-0.23%
2024-09-02,0.74681,0.74762,0.74848,0.745325,,-0.03%
2024-08-30,0.74706,0.74943,0.750835,0.74678,,-0.22%
2024-08-29,0.74872,0.747665,0.75342,0.746665,,0.24%
2024-08-28,0.74694,0.753385,0.753705,0.74627,,-0.75%
2024-08-27,0.75257,0.75264,0.753855,0.748755,,0.10%
2024-08-26,0.75181,0.75484,0.758825,0.751905,,-0.32%
2024-08-23,0.75419,0.744765,0.75565,0.744,,1.31%
2024-08-22,0.74444,0.749465,0.75109,0.743875,,-0.57%
2024-08-21,0.74872,0.75228,0.75402,0.745985,,-0.45%
2024-08-20,0.75212,0.750545,0.755095,0.747885,,0.31%
2024-08-19,0.74981,0.740715,0.751995,0.740215,,1.31%
2024-08-16,0.74013,0.732505,0.741205,0.73179,,1.16%
2024-08-15,0.73167,0.73621,0.73827,0.731525,,-0.57%
