Date,Close,Open,High,Low,Volume,Change%
2024-12-03,106.4884,106.4985,106.4985,106.4884,,-0.01%
2024-12-02,106.5016,107.4514,108.5098,105.7365,,-0.88%
2024-12-01,107.4514,107.2409,107.5366,107.1395,,0.90%
2024-11-29,106.4955,108.61,110.0,104.5,,-1.39%
2024-11-28,107.9955,110.31,112.0,105.75,,-4.55%
2024-11-27,113.1455,105.41,114.5,103.31,,7.25%
2024-11-26,105.4955,103.56,107.95,102.5,,1.44%
2024-11-25,103.9955,102.21,104.15,102.21,,-0.34%
2024-11-22,104.3455,100.51,104.35,100.36,,3.01%
2024-11-21,101.2955,100.0,101.45,100.0,,0.70%
2024-11-20,100.5955,99.8268,100.75,99.75,,0.02%
2024-11-19,100.5705,99.86,101.075,99.81,,0.83%
2024-11-18,99.7455,99.66,100.55,99.56,,-0.25%
2024-11-15,99.9955,99.51,100.4,99.0,,0.50%
2024-11-14,99.5,98.26,100.75,97.5,,1.02%
2024-11-13,98.4955,97.75,98.7,97.75,,0.25%
2024-11-12,98.2455,97.56,98.25,97.56,,2.34%
2024-11-11,95.9955,97.31,98.7,95.5,,-1.64%
2024-11-08,97.5955,97.91,98.21,96.9,,-0.41%
2024-11-07,97.9955,98.36,98.36,96.6,,0.80%
2024-11-06,97.2205,95.0,100.5,95.0,,-0.59%
2024-11-05,97.7955,98.36,98.725,97.3,,-0.56%
2024-11-04,98.35,97.41,99.05,97.41,,0.36%
2024-11-01,97.9955,97.06,98.25,97.0,,0.64%
2024-10-31,97.3705,96.91,97.375,96.91,,0.49%
2024-10-30,96.9,97.16,98.0,96.6,,-0.61%
2024-10-29,97.4955,97.16,98.0,95.65,,0.36%
2024-10-28,97.15,96.66,98.0,96.66,,-0.10%
2024-10-25,97.2455,96.95,97.35,96.375,,1.04%
2024-10-24,96.2455,96.41,97.15,95.5,,0.26%
2024-10-23,95.9955,96.41,96.875,95.95,,0.26%
2024-10-22,95.7455,96.31,97.1,95.75,,-1.08%
2024-10-21,96.7955,96.31,97.55,95.75,,0.10%
2024-10-18,96.7,96.75,97.25,95.25,,0.00%
2024-10-17,96.7,96.75,97.7,96.75,,0.00%
2024-10-16,96.7,96.75,97.75,96.75,,0.00%
2024-10-15,96.7,94.5,99.125,94.0,,1.16%
2024-10-14,95.5955,95.61,96.45,95.6,,-0.21%
2024-10-11,95.7955,97.21,97.21,95.2,,-0.83%
2024-10-10,96.5955,97.16,97.6,96.6,,-0.41%
2024-10-09,96.9955,97.0,100.3,96.31,,0.26%
2024-10-08,96.7455,96.06,96.8,96.01,,0.57%
