Date,Close,Open,High,Low,Volume,Change%
2024-12-02,601.5,601.5,601.5,601.5,,0.46%
2024-12-01,598.7502,598.7502,598.7502,598.7502,,0.00%
2024-11-30,598.7502,598.7502,598.7502,598.7502,,0.00%
2024-11-29,598.7502,600.4707,600.4707,600.4207,,-0.01%
2024-11-28,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-27,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-26,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-25,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-24,598.8002,598.8002,598.8002,598.8002,,0.00%
2024-11-23,598.8002,598.8002,598.8002,598.8002,,0.00%
2024-11-22,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-21,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-20,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-19,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-18,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-16,598.8502,598.8502,598.8502,598.8502,,0.00%
2024-11-15,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-14,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-13,598.8502,600.5207,600.5207,600.5207,,0.01%
2024-11-12,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-11,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-09,598.8002,598.8002,598.8002,598.8002,,0.00%
2024-11-08,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-07,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-06,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-05,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-11-04,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-11-02,598.8502,598.8502,598.8502,598.8502,,0.00%
2024-11-01,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-31,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-10-30,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-29,598.8002,600.4707,600.4707,600.4707,,-0.01%
2024-10-28,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-26,598.8002,598.8002,598.8002,598.8002,,0.00%
2024-10-25,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-10-24,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-10-23,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-10-22,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-10-21,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-10-19,598.7502,598.7502,598.7502,598.7502,,0.00%
2024-10-18,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-10-17,598.7002,600.4707,600.4707,600.3707,,-0.02%
2024-10-16,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-10-15,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-14,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-10-12,598.8502,598.8502,598.8502,598.8502,,0.00%
2024-10-11,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-10,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-10-09,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-08,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-10-07,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-10-04,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-10-03,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-10-02,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-10-01,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-09-30,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-09-27,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-09-26,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-09-25,598.7502,600.4207,600.4207,600.3707,,0.00%
2024-09-24,598.7502,600.4707,600.4707,600.4207,,-0.01%
2024-09-23,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-20,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-19,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-18,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-17,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-16,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-14,598.8002,598.8002,598.8002,598.8002,,0.00%
2024-09-13,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-12,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-11,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-10,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-09,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-07,598.8502,598.8502,598.8502,598.8502,,0.00%
2024-09-06,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-05,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-04,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-09-03,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-09-02,598.8502,600.5207,600.5207,600.5207,,0.00%
