Date,Close,Open,High,Low,Volume,Change%
2024-12-02,34.506,34.369,34.56,34.333,,0.39%
2024-12-01,34.37,34.311,34.375,34.31,,0.29%
2024-11-29,34.27,34.41,34.455,34.19,,-0.35%
2024-11-28,34.39,34.515,34.595,34.37,,-0.12%
2024-11-27,34.43,34.7,34.785,34.405,,-0.72%
2024-11-26,34.68,34.61,34.795,34.575,,0.29%
2024-11-25,34.58,34.475,34.7,34.37,,0.46%
2024-11-22,34.42,34.705,34.8,34.445,,-0.81%
2024-11-21,34.7,34.7,34.775,34.575,,0.09%
2024-11-20,34.67,34.52,34.765,34.475,,0.55%
2024-11-19,34.48,34.58,34.685,34.47,,-0.20%
2024-11-18,34.55,34.855,34.88,34.525,,-0.75%
2024-11-15,34.81,35.0,35.075,34.75,,-0.40%
2024-11-14,34.95,34.885,35.17,34.775,,0.40%
2024-11-13,34.81,34.82,34.95,34.56,,0.06%
2024-11-12,34.79,34.515,34.89,34.455,,0.90%
2024-11-11,34.48,34.265,34.6,34.215,,1.03%
2024-11-08,34.13,33.96,34.335,33.915,,0.62%
2024-11-07,33.92,34.345,34.465,33.92,,-1.11%
2024-11-06,34.3,33.595,34.4,33.52,,2.27%
2024-11-05,33.54,33.775,33.8,33.545,,-0.62%
2024-11-04,33.75,33.86,33.925,33.63,,-0.56%
2024-11-01,33.94,33.81,33.995,33.765,,0.44%
2024-10-31,33.79,33.765,33.9,33.67,,0.18%
2024-10-30,33.73,33.68,33.815,33.61,,0.21%
2024-10-29,33.66,33.79,33.85,33.65,,-0.33%
2024-10-28,33.77,33.72,33.88,33.71,,0.36%
2024-10-25,33.65,33.68,33.83,33.62,,-0.03%
2024-10-24,33.66,33.8,33.85,33.605,,-0.38%
2024-10-23,33.79,33.5,33.845,33.475,,0.93%
2024-10-22,33.48,33.515,33.57,33.45,,-0.03%
2024-10-21,33.49,33.12,33.54,33.075,,1.18%
2024-10-18,33.1,33.19,33.27,33.07,,-0.21%
2024-10-17,33.17,33.23,33.275,33.14,,-0.12%
2024-10-16,33.21,33.3,33.41,33.125,,-0.27%
2024-10-15,33.3,33.295,33.45,33.225,,0.15%
2024-10-14,33.25,33.175,33.35,33.1,,0.33%
2024-10-11,33.14,33.445,33.495,33.11,,-0.81%
